period	고려사이버대	한양사이버대	경희사이버대
2022-10-01	19.13797	15.92878	24.15085
2022-10-02	21.05879	20.0281	25.53291
2022-10-03	27.40688	19.77043	40.78238
2022-10-04	31.55305	27.38346	49.14499
2022-10-05	32.95853	26.23565	42.58608
2022-10-06	26.0014	25.43921	35.69922
2022-10-07	25.25181	27.00866	35.09018
2022-10-08	21.55071	17.89646	22.74537
2022-10-09	24.52565	23.79948	33.61442
2022-10-10	30.92059	20.70742	39.23635
2022-10-11	35.46498	32.23237	45.27992
2022-10-12	31.57648	28.88264	42.91403
2022-10-13	31.90442	28.62497	43.31225
2022-10-14	34.36401	32.25579	38.25251
2022-10-15	54.0876	47.01335	38.9084
2022-10-16	46.12321	35.93347	44.64745
2022-10-17	42.39868	43.52307	69.47762
2022-10-18	31.06113	35.23073	49.73061
2022-10-19	33.89552	35.53525	60.08432
2022-10-20	30.85031	33.38018	51.51089
2022-10-21	31.20168	36.80018	37.90114
2022-10-22	37.92457	23.79948	39.93909
2022-10-23	33.82525	33.94237	31.9747
2022-10-24	41.57882	51.01897	48.60623
2022-10-25	28.78894	36.94073	35.69922
2022-10-26	28.03935	36.80018	32.77114
2022-10-27	26.89154	26.68072	31.29538
2022-10-28	23.61208	26.77442	30.75661
2022-10-29	19.72358	19.37221	22.34715
2022-10-30	18.4118	21.83181	24.05715
2022-10-31	38.20566	32.41977	53.03349
2022-11-01	31.08456	34.64511	38.34621
2022-11-02	27.82853	25.46263	32.79456
2022-11-03	27.8051	27.50058	32.60716
2022-11-04	22.1129	30.70976	39.2832
2022-11-05	19.67673	24.83017	24.36167
2022-11-06	22.86249	23.79948	27.28976
2022-11-07	39.11923	36.21457	55.07144
2022-11-08	28.55469	30.61606	38.86156
2022-11-09	26.16537	31.90442	34.38744
2022-11-10	25.39236	28.76551	34.36401
2022-11-11	24.64277	36.91731	33.591
2022-11-12	20.44975	23.49496	21.19934
2022-11-13	24.61934	25.60318	25.67345
2022-11-14	41.04005	36.68306	60.92761
2022-11-15	30.03045	31.57648	38.06512
2022-11-16	26.98524	30.89716	38.41649
2022-11-17	29.14031	28.67182	36.58936
2022-11-18	25.27524	30.35839	38.53361
2022-11-19	20.14523	22.3003	25.04099
2022-11-20	25.36893	26.96181	32.79456
2022-11-21	38.36964	39.68142	59.42843
2022-11-22	33.12251	34.55141	42.44553
2022-11-23	31.17826	36.63621	44.81143
2022-11-24	25.46263	27.7114	40.50128
2022-11-25	25.62661	32.25579	37.31553
2022-11-26	23.42468	24.1977	29.18716
2022-11-27	28.13305	31.43593	36.65963
2022-11-28	49.12157	46.09978	71.14078
2022-11-29	37.5732	46.26376	58.49144
2022-11-30	44.24923	61.44296	90.77067
2022-12-01	66.99461	89.71656	85.82806
2022-12-02	58.77254	76.87983	76.52846
2022-12-03	44.13211	59.47528	64.01967
2022-12-04	55.46966	80.6512	76.24736
2022-12-05	67.182	90.88779	100
2022-12-06	48.02061	70.27406	84.28203
2022-12-07	50.50363	80.39353	78.47271
2022-12-08	42.56266	68.96228	74.13914
2022-12-09	48.98102	67.60365	73.249
2022-12-10	48.4891	65.7531	50.99554
2022-12-11	50.17568	62.47364	40.36074
2022-12-12	46.7791	79.2223	61.39611
2022-12-13	38.55703	68.61091	46.75568
2022-12-14	29.81962	49.82431	48.06746
2022-12-15	31.64675	53.73623	41.368
2022-12-16	29.65565	51.72171	36.68306
2022-12-17	25.60318	33.4036	24.61934
2022-12-18	22.34715	32.20894	23.70578
2022-12-19	43.03115	63.97282	45.18622
2022-12-20	34.48114	83.11079	44.15553
2022-12-21	34.27032	56.57062	78.7538
2022-12-22	30.66291	55.23541	51.72171
2022-12-23	24.71304	49.54321	38.79128
2022-12-24	17.14687	24.66619	22.51112
2022-12-25	20.3092	31.45935	23.63551
2022-12-26	50.26938	61.81775	50.6676
2022-12-27	43.56992	65.54228	52.79925
2022-12-28	87.51464	57.34364	45.2565
2022-12-29	47.34129	52.89294	43.14827
2022-12-30	33.84867	42.77348	33.28648
2022-12-31	26.0951	24.75989	20.2155
